iter	MultiClass
0	1.346609705
1	1.224325886
2	1.140119379
3	1.090933992
4	1.060072394
5	1.038556202
6	1.026845095
7	1.017661971
8	1.006847189
9	0.9940965161
10	0.9851606871
11	0.9769081895
12	0.9668677251
13	0.9546618857
14	0.9427582778
15	0.9334269806
16	0.920359
17	0.9103304253
18	0.902458566
19	0.8959181756
20	0.8882155935
21	0.8792795142
22	0.868808839
23	0.8614280853
24	0.8567167564
25	0.8513884026
26	0.8404456827
27	0.8313821497
28	0.821948195
29	0.818108403
30	0.806533078
31	0.7997963266
32	0.7929594591
33	0.790481545
34	0.7869031714
35	0.7795051137
36	0.7768963698
37	0.7710001431
38	0.7659130944
39	0.7566634062
40	0.7516849316
41	0.7445738646
42	0.7415099666
43	0.734823035
44	0.7302255349
45	0.7228608385
46	0.7185163138
47	0.7114987427
48	0.7069229718
49	0.7011182056
50	0.6953411222
51	0.6882211327
52	0.6816141871
53	0.6782906408
54	0.6726516206
55	0.6688716511
56	0.6617225348
57	0.654493657
58	0.6499721585
59	0.6431666879
60	0.6390022059
61	0.6312257915
62	0.6299231012
63	0.6245379079
64	0.6179015228
65	0.6137244097
66	0.6066913141
67	0.601698576
68	0.5947326812
69	0.5924081264
70	0.5881413632
71	0.5803108575
72	0.5772292632
73	0.5725810773
74	0.5690469469
75	0.5668537605
76	0.5636971752
77	0.5550553402
78	0.5488637919
79	0.545673132
80	0.5430267284
81	0.5364750948
82	0.5316205219
83	0.5271237729
84	0.5247577927
85	0.5193598818
86	0.5164385553
87	0.5155160015
88	0.5089254035
89	0.5041729937
90	0.5021985679
91	0.4974108488
92	0.4933191879
93	0.4865596176
94	0.4779993298
95	0.4744937832
96	0.4738250576
97	0.4693512116
98	0.4651193079
99	0.4627342674
100	0.4594469224
101	0.4542341666
102	0.4507022544
103	0.4453331457
104	0.4415363813
105	0.438193641
106	0.4347338364
107	0.4323551948
108	0.4299650263
109	0.4268958527
110	0.424540328
111	0.421609556
112	0.4199289287
113	0.4186835063
114	0.416962917
115	0.4139504274
116	0.411400443
117	0.4080127577
118	0.4047603307
119	0.4008305874
120	0.3966778051
121	0.3922365249
122	0.3904922498
123	0.3876537429
124	0.3838809723
125	0.381905311
126	0.3815284897
127	0.3756367951
128	0.3694770053
129	0.3690246221
130	0.3676264165
131	0.364471138
132	0.3634141324
133	0.3609746051
134	0.3579095159
135	0.3562678918
136	0.3532960957
137	0.3511835205
138	0.3484495421
139	0.3455015273
140	0.3425779226
141	0.3406343861
142	0.3382220308
143	0.3366604266
144	0.3361711279
145	0.3349517047
146	0.3338458033
147	0.3309173591
148	0.3288732191
149	0.325851066
150	0.3234413307
151	0.3212858622
152	0.3177103211
153	0.3142756964
154	0.3097544375
155	0.309046248
156	0.3086073769
157	0.3066913922
158	0.3025806251
159	0.3008167397
160	0.2987470752
161	0.2979623666
162	0.2953069794
163	0.2932799516
164	0.2909901178
165	0.2903252107
166	0.2890052074
167	0.2882842065
168	0.287108425
169	0.2851831834
170	0.2824994945
171	0.2795463113
172	0.2772961975
173	0.2749335484
174	0.2710739862
175	0.2689650451
176	0.2655330472
177	0.2630595316
178	0.259568087
179	0.2581709738
180	0.2558750279
181	0.2552444033
182	0.2542614708
183	0.2536777111
184	0.2509644683
185	0.2496205663
186	0.2480301209
187	0.2474321187
188	0.2472111582
189	0.2453737186
190	0.244360647
191	0.2418821881
192	0.2403751636
193	0.2386341326
194	0.2379723853
195	0.2370384636
196	0.2348506844
197	0.2322374804
198	0.2317115623
199	0.231340554
