iter	Passed	Remaining
0	2	431
1	3	374
2	5	382
3	7	390
4	10	406
5	12	406
6	14	398
7	16	396
8	18	393
9	19	379
10	22	382
11	24	383
12	25	372
13	28	380
14	31	383
15	33	385
16	35	382
17	37	381
18	39	377
19	41	377
20	44	376
21	45	370
22	48	372
23	50	366
24	51	358
25	52	351
26	54	348
27	56	349
28	59	349
29	61	345
30	63	345
31	64	340
32	66	336
33	67	329
34	68	323
35	70	321
36	71	316
37	73	312
38	74	307
39	76	306
40	78	303
41	80	301
42	81	296
43	82	292
44	84	289
45	85	287
46	87	284
47	89	283
48	91	280
49	92	278
50	94	275
51	96	275
52	98	273
53	99	270
54	101	267
55	102	264
56	104	262
57	106	260
58	107	257
59	109	254
60	110	252
61	112	250
62	113	247
63	115	245
64	117	244
65	119	241
66	121	240
67	122	238
68	124	236
69	126	234
70	127	232
71	130	231
72	131	228
73	133	227
74	135	225
75	136	223
76	138	221
77	140	219
78	141	217
79	143	215
80	144	212
81	147	211
82	148	209
83	150	208
84	152	206
85	154	204
86	156	202
87	157	200
88	159	198
89	161	196
90	162	194
91	164	193
92	166	191
93	168	190
94	171	189
95	172	187
96	173	184
97	176	183
98	177	181
99	179	179
100	181	177
101	183	176
102	185	174
103	187	172
104	189	171
105	191	170
106	193	168
107	195	166
108	196	164
109	198	162
110	199	160
111	201	158
112	203	156
113	205	154
114	206	152
115	208	151
116	210	149
117	211	147
118	213	145
119	215	143
120	217	141
121	219	140
122	221	138
123	223	136
124	225	135
125	226	133
126	227	130
127	229	129
128	232	127
129	233	125
130	234	123
131	236	122
132	238	120
133	241	118
134	243	117
135	244	115
136	246	113
137	248	111
138	249	109
139	251	107
140	253	105
141	255	104
142	256	102
143	258	100
144	259	98
145	260	96
146	261	94
147	263	92
148	265	90
149	267	89
150	269	87
151	271	85
152	273	84
153	275	82
154	278	80
155	279	78
156	280	76
157	282	74
158	284	73
159	285	71
160	287	69
161	289	67
162	291	66
163	293	64
164	294	62
165	296	60
166	297	58
167	299	56
168	300	55
169	302	53
170	304	51
171	307	50
172	308	48
173	310	46
174	312	44
175	314	42
176	317	41
177	318	39
178	321	37
179	323	35
180	325	34
181	326	32
182	327	30
183	329	28
184	330	26
185	332	25
186	334	23
187	335	21
188	336	19
189	338	17
190	340	16
191	342	14
192	344	12
193	346	10
194	347	8
195	348	7
196	350	5
197	353	3
198	354	1
199	355	0
